V,I,Mg
-149.43,-0.15316,0.2
-145.05,-0.16066,0.2
-140.85,-0.15553,0.2
-136.86,-0.14924,0.2
-133.02,-0.14497,0.2
-129.02,-0.14466,0.2
-125.01,-0.14375,0.2
-121,-0.14107,0.2
-116.99,-0.14551,0.2
-112.98,-0.14697,0.2
-108.97,-0.152,0.2
-104.97,-0.17006,0.2
-100.9,-0.18202,0.2
-96.809,-0.20233,0.2
-93.193,-0.22158,0.2
-89.084,-0.23145,0.2
-84.924,-0.23903,0.2
-80.915,-0.25827,0.2
-76.907,-0.2793,0.2
-72.898,-0.30032,0.2
-68.89,-0.31838,0.2
-64.882,-0.33822,0.2
-60.873,-0.36564,0.2
-56.865,-0.40515,0.2
-52.856,-0.43743,0.2
-48.848,-0.46438,0.2
-44.84,-0.48303,0.2
-40.831,-0.4922,0.2
-36.823,-0.48775,0.2
-32.814,-0.46788,0.2
-28.554,-0.4172,0.2
-24.777,-0.37028,0.2
-21.041,-0.28637,0.2
-16.781,-0.19821,0.2
-1.2634,0.32917,0.2
1.1029,0.43462,0.2
3.7395,0.58947,0.2
6.7914,0.72993,0.2
8.9094,0.90786,0.2
10.886,1.0498,0.2
13.132,1.1955,0.2
15.227,1.3515,0.2
17.193,1.5012,0.2
19.129,1.6643,0.2
21.299,1.8192,0.2
22.635,1.9637,0.2
24.923,2.1241,0.2
26.616,2.2901,0.2
28.04,2.4671,0.2
29.89,2.6355,0.2
32.021,2.8296,0.2
33.97,2.9995,0.2
35.693,3.1297,0.2
37.469,3.3211,0.2
37.657,3.4832,0.2
