V,I,Mg
-149.57264957265,-0.053607099584111,2
-142.735042735043,-0.075547696237351,2
-132.692307692308,-0.081671415004748,2
-123.504273504274,-0.103251792906965,2
-112.820512820513,-0.10927727019681,2
-104.487179487179,-0.130988636735763,2
-96.3675213675214,-0.137407079935816,2
-88.4615384615385,-0.159183940793136,2
-81.6239316239316,-0.173461702197335,2
-73.7179487179487,-0.202901398303696,2
-66.8803418803419,-0.224841994956937,2
-58.5470085470085,-0.246553361495891,2
-51.0683760683761,-0.268395716671578,2
-44.017094017094,-0.282640730916593,2
-35.2564102564102,-0.288960932639093,2
-27.7777777777777,-0.280151946818613,2
-20.0854700854701,-0.232996037593739,2
-14.5299145299145,-0.117202082719324,2
-4.27350427350427,0.25984870812457,2
0.641025641025635,0.482824115008024,2
5.76923076923077,0.805449127288208,2
10.042735042735,1.11261748043357,2
13.2478632478633,1.37364508628876,2
16.4529914529915,1.63467269214396,2
19.6581196581197,1.91102596849723,2
22.6495726495727,2.17968366244228,2
24.7863247863248,2.40989619150539,2
27.1367521367522,2.6631299734748,2
29.4871794871795,2.90870092019517,2
31.8376068376068,3.16193470216459,2
34.1880341880342,3.43815698988113,2
36.7521367521368,3.69908635425877,2
38.6752136752137,3.89861479516652,2
