V,I,Mg
-150.52,-0.07009,2
-146.17,-0.09748,2
-142.5,-0.089026,2
-138.67,-0.090781,2
-134.48,-0.092175,2
-130.47,-0.096606,2
-126.47,-0.10498,2
-122.46,-0.1102,2
-118.45,-0.11838,2
-114.19,-0.1186,2
-110.43,-0.12981,2
-106.55,-0.1253,2
-102.1,-0.13075,2
-98.747,-0.1429,2
-94.421,-0.14749,2
-90.39,-0.16462,2
-86.381,-0.16609,2
-82.373,-0.17584,2
-78.364,-0.18896,2
-74.356,-0.19754,2
-70.095,-0.21418,2
-66.491,-0.22642,2
-62.331,-0.22074,2
-58.322,-0.23067,2
-54.314,-0.24518,2
-50.306,-0.2579,2
-46.297,-0.27063,2
-42.289,-0.28158,2
-38.28,-0.28364,2
-34.272,-0.27918,2
-30.264,-0.2605,2
-26.255,-0.2519,2
-22.247,-0.23085,2
-18.238,-0.18373,2
-14.166,-0.11232,2
-0.61684,0.41952,2
2.3583,0.58966,2
5.76,0.77166,2
8.1386,0.93108,2
9.9606,1.0768,2
11.825,1.2398,2
13.663,1.3989,2
16.015,1.559,2
17.291,1.7026,2
19.161,1.8787,2
21.441,2.0574,2
23.087,2.2284,2
24.858,2.3941,2
26.206,2.5317,2
26.884,2.6671,2
28.441,2.7968,2
30.246,2.9706,2
32.176,3.1626,2
33.479,3.3294,2
35.216,3.493,2
36.321,3.6493,2
37.758,3.8046,2
38.244,3.9495,2
