V,I,Mg,Vrev
-150.52,-0.07009,2,-10.3
-146.17,-0.09748,2,-10.3
-142.5,-0.089026,2,-10.3
-138.67,-0.090781,2,-10.3
-134.48,-0.092175,2,-10.3
-130.47,-0.096606,2,-10.3
-126.47,-0.10498,2,-10.3
-122.46,-0.1102,2,-10.3
-118.45,-0.11838,2,-10.3
-114.19,-0.1186,2,-10.3
-110.43,-0.12981,2,-10.3
-106.55,-0.1253,2,-10.3
-102.1,-0.13075,2,-10.3
-98.747,-0.1429,2,-10.3
-94.421,-0.14749,2,-10.3
-90.39,-0.16462,2,-10.3
-86.381,-0.16609,2,-10.3
-82.373,-0.17584,2,-10.3
-78.364,-0.18896,2,-10.3
-74.356,-0.19754,2,-10.3
-70.095,-0.21418,2,-10.3
-66.491,-0.22642,2,-10.3
-62.331,-0.22074,2,-10.3
-58.322,-0.23067,2,-10.3
-54.314,-0.24518,2,-10.3
-50.306,-0.2579,2,-10.3
-46.297,-0.27063,2,-10.3
-42.289,-0.28158,2,-10.3
-38.28,-0.28364,2,-10.3
-34.272,-0.27918,2,-10.3
-30.264,-0.2605,2,-10.3
-26.255,-0.2519,2,-10.3
-22.247,-0.23085,2,-10.3
-18.238,-0.18373,2,-10.3
-14.166,-0.11232,2,-10.3
-0.61684,0.41952,2,-10.3
2.3583,0.58966,2,-10.3
5.76,0.77166,2,-10.3
8.1386,0.93108,2,-10.3
9.9606,1.0768,2,-10.3
11.825,1.2398,2,-10.3
13.663,1.3989,2,-10.3
16.015,1.559,2,-10.3
17.291,1.7026,2,-10.3
19.161,1.8787,2,-10.3
21.441,2.0574,2,-10.3
23.087,2.2284,2,-10.3
24.858,2.3941,2,-10.3
26.206,2.5317,2,-10.3
26.884,2.6671,2,-10.3
28.441,2.7968,2,-10.3
30.246,2.9706,2,-10.3
32.176,3.1626,2,-10.3
33.479,3.3294,2,-10.3
35.216,3.493,2,-10.3
36.321,3.6493,2,-10.3
37.758,3.8046,2,-10.3
38.244,3.9495,2,-10.3
-149.43,-0.15316,0.2,-9.3
-145.05,-0.16066,0.2,-9.3
-140.85,-0.15553,0.2,-9.3
-136.86,-0.14924,0.2,-9.3
-133.02,-0.14497,0.2,-9.3
-129.02,-0.14466,0.2,-9.3
-125.01,-0.14375,0.2,-9.3
-121,-0.14107,0.2,-9.3
-116.99,-0.14551,0.2,-9.3
-112.98,-0.14697,0.2,-9.3
-108.97,-0.152,0.2,-9.3
-104.97,-0.17006,0.2,-9.3
-100.9,-0.18202,0.2,-9.3
-96.809,-0.20233,0.2,-9.3
-93.193,-0.22158,0.2,-9.3
-89.084,-0.23145,0.2,-9.3
-84.924,-0.23903,0.2,-9.3
-80.915,-0.25827,0.2,-9.3
-76.907,-0.2793,0.2,-9.3
-72.898,-0.30032,0.2,-9.3
-68.89,-0.31838,0.2,-9.3
-64.882,-0.33822,0.2,-9.3
-60.873,-0.36564,0.2,-9.3
-56.865,-0.40515,0.2,-9.3
-52.856,-0.43743,0.2,-9.3
-48.848,-0.46438,0.2,-9.3
-44.84,-0.48303,0.2,-9.3
-40.831,-0.4922,0.2,-9.3
-36.823,-0.48775,0.2,-9.3
-32.814,-0.46788,0.2,-9.3
-28.554,-0.4172,0.2,-9.3
-24.777,-0.37028,0.2,-9.3
-21.041,-0.28637,0.2,-9.3
-16.781,-0.19821,0.2,-9.3
-1.2634,0.32917,0.2,-9.3
1.1029,0.43462,0.2,-9.3
3.7395,0.58947,0.2,-9.3
6.7914,0.72993,0.2,-9.3
8.9094,0.90786,0.2,-9.3
10.886,1.0498,0.2,-9.3
13.132,1.1955,0.2,-9.3
15.227,1.3515,0.2,-9.3
17.193,1.5012,0.2,-9.3
19.129,1.6643,0.2,-9.3
21.299,1.8192,0.2,-9.3
22.635,1.9637,0.2,-9.3
24.923,2.1241,0.2,-9.3
26.616,2.2901,0.2,-9.3
28.04,2.4671,0.2,-9.3
29.89,2.6355,0.2,-9.3
32.021,2.8296,0.2,-9.3
33.97,2.9995,0.2,-9.3
35.693,3.1297,0.2,-9.3
37.469,3.3211,0.2,-9.3
37.657,3.4832,0.2,-9.3
