V,IC50,Type
-115.166458593425,3.03027108286639,2A
-105.097794423637,4.74161104563523,2A
-95.2621722846442,8.07992644838295,2A
-85.4099042863088,11.6095347232715,2A
-75.341240116521,18.1659978837533,2A
-65.5305867665418,39.980834238849,2A
-55.7365792759051,104.356262977539,2A
-45.6866416978776,197.831888278416,2A
-35.8655846858094,391.374560198038,2A
-26.0445276737412,774.263682681128,2A
-16.0153974198918,1816.59978837533,2A
-115.337078651685,17.4076738333024,2D
-105.260091552226,25.0119843429457,2D
-95.1789429879317,34.4379298497699,2D
-85.5701206824802,59.9484250318941,2D
-75.7365792759051,104.356262977539,2D
-65.682480233042,189.573565240638,2D
-55.649188514357,426.215882901533,2D
-45.8302122347066,861.360962205907,2D
-36.0362047440699,2248.287530809,2D
-26.0195588847274,5994.84250318942,2D
-16.2130669995838,13768.5716485276,2D
