V,IC50,Type,Ions
-114.960610124036,3.11323233139377,2A,125 Cs
-105.067884679852,4.84320014962855,2A,125 Cs
-95.1785115655381,7.91910004671842,2A,125 Cs
-85.2815957090177,11.5762675374955,2A,125 Cs
-75.2329869259135,17.7845100060247,2A,125 Cs
-65.36205162588,38.2392370736474,2A,125 Cs
-55.5045256453235,100.338278207954,2A,125 Cs
-45.4693261816963,188.117892178259,2A,125 Cs
-35.5916862219242,366.144372339563,2A,125 Cs
-25.7148843446195,721.572967566707,2A,125 Cs
-15.692256118002,1630.52774481399,2A,125 Cs
-115.231310760979,17.3472501168421,2D,125 Cs
-105.176835400603,24.4266869109274,2D,125 Cs
-95.1215219577606,33.9697898006734,2D,125 Cs
-85.2355011733155,58.3792887908475,2D,125 Cs
-75.194435132417,100.318917234706,2D,125 Cs
-65.468488099229,185.790914324322,2D,125 Cs
-55.5983908816628,404.480341283645,2D,125 Cs
-45.5682199128394,817.136612363764,2D,125 Cs
-35.708179684881,2065.54756116093,2D,125 Cs
-25.8498156218572,5352.87365745869,2D,125 Cs
-15.8297016426416,12556.0150336256,2D,125 Cs
-114.942172309755,2.36748714694397,2A,8 Cs
-105.026818638954,2.63182163801048,2A,8 Cs
-95.1114649681529,2.92566958314475,2A,8 Cs
-85.2019778746229,3.54840778424102,2A,8 Cs
-75.2857861213543,3.89580055132445,2A,8 Cs
-65.2380154207174,6.06004285802858,2A,8 Cs
-55.3503184713376,10.1585184126577,2A,8 Cs
-45.2950050284948,14.1272836722641,2A,8 Cs
-35.4265839758632,31.5313725824904,2A,8 Cs
-25.5447536037546,57.6682770462102,2A,8 Cs
-15.5187730472678,123.983070271531,2A,8 Cs
-115.052799195441,12.2413986864986,2D,8 Cs
-105.132417029836,12.6289159950609,2D,8 Cs
-95.061180020114,13.8639620758169,2D,8 Cs
-85.3109285953738,17.8963997563885,2D,8 Cs
-75.2413677505867,20.1417974019958,2D,8 Cs
-65.3419376466644,28.3644295025172,2D,8 Cs
-55.4399932953403,38.4798160206537,2D,8 Cs
-45.393898759638,61.3653522702505,2D,8 Cs
-35.5062018102581,102.867434363222,2D,8 Cs
-25.6201810258129,176.784363197474,2D,8 Cs
-15.7484076433121,375.409735806775,2D,8 Cs
