V,IC50,Type,Ions
-115.151515151515,2.34395621569989,2A,140 Na
-105.050505050505,2.61330557309217,2A,140 Na
-95.1515151515152,2.91381309053108,2A,140 Na
-85.0505050505051,3.53417260063765,2A,140 Na
-75.1515151515152,3.94057185427013,2A,140 Na
-65.0505050505051,6.15377218046872,2A,140 Na
-54.949494949495,10.4546366389487,2A,140 Na
-44.8484848484848,14.3884183751083,2A,140 Na
-34.9494949494949,32.3714834398352,2A,140 Na
-24.8484848484848,59.8295169454538,2A,140 Na
-14.7474747474747,127.245959532799,2A,140 Na
-115.151515151515,12.2874479192139,2D,140 Na
-105.050505050505,12.7706965297466,2D,140 Na
-95.1515151515152,14.0406922158313,2D,140 Na
-85.0505050505051,18.2684789770401,2D,140 Na
-75.1515151515152,20.0852075664423,2D,140 Na
-65.0505050505051,28.8318906031539,2D,140 Na
-54.949494949495,39.6805091243466,2D,140 Na
-44.8484848484848,62.8430073252971,2D,140 Na
-34.9494949494949,105.282872017912,2D,140 Na
-24.8484848484848,183.958718060387,2D,140 Na
-14.7474747474747,396.77695484613,2D,140 Na
-115.151515151515,1.33674034487974,2A,70 Na
-105.050505050505,1.59873160484591,2A,70 Na
-95.1515151515152,1.85925834252943,2A,70 Na
-85.0505050505051,2.10221920598761,2A,70 Na
-75.1515151515152,2.97582940974749,2A,70 Na
-65.0505050505051,4.58239617367396,2A,70 Na
-54.949494949495,5.71628431053587,2A,70 Na
-45.0505050505051,11.1760350621756,2A,70 Na
-34.9494949494949,20.9477899951748,2A,70 Na
-24.8484848484848,39.8186221631469,2A,70 Na
-14.9494949494949,103.088775750937,2A,70 Na
-115.151515151515,8.17772348873528,2D,70 Na
-105.050505050505,9.3770934348684,2D,70 Na
-95.1515151515152,12.0313773628786,2D,70 Na
-85.0505050505051,16.7925644537816,2D,70 Na
-74.949494949495,24.7918504278499,2D,70 Na
-65.0505050505051,50.5563323860936,2D,70 Na
-54.949494949495,59.6219950387079,2D,70 Na
-44.8484848484848,110.194368111673,2D,70 Na
-34.9494949494949,281.311179629532,2D,70 Na
-24.8484848484848,272.553699817459,2D,70 Na
-14.9494949494949,525.446441608283,2D,70 Na
