V,IC50,Type
-115.099337748344,17.8427581267205,2C
-94.9668874172185,36.4253311544963,2C
-75.0993377483444,134.479154755489,2C
-65.0331125827815,253.226278169879,2C
-54.9668874172185,676.720537228209,2C
-34.9668874172185,2367.38562305437,2C
-14.8344370860927,10553.3857498807,2C
-115.099337748344,8.74018183165785,2C L657S
-94.9668874172185,14.1921039545259,2C L657S
-74.9668874172185,38.9621823733893,2C L657S
-64.9006622516556,79.5398550702341,2C L657S
-55.0993377483444,236.738562305437,2C L657S
-35.0993377483444,615.848211066025,2C L657S
-15.0993377483444,8171.10331545719,2C L657S
