V,I
-68.9177098599455,-5.07821251160323
-67.3813665971871,-5.38796036225327
-65.8448207855645,-5.55288577496657
-64.3440175194107,-5.97252637865816
-62.7727165880324,-6.58874598533487
-61.2359783549887,-6.61609008200824
-59.6994907761646,-6.82265194562837
-58.1639678363064,-7.71893066992232
-56.6278828233499,-8.21332712894173
-55.09159779339,-8.56471143049865
-53.555044386185,-8.7242060017893
-52.0183897045478,-8.81128935411161
-50.4817603415187,-8.91647551117603
-48.9461741051405,-9.7674972236147
-47.4101296019568,-10.2908581702215
-45.8744294318425,-11.0604172613208
-44.3391875285334,-12.157637118252
-42.8027455232037,-12.3967840304079
-41.3300570388262,-12.4365658932765
-39.6381264085379,-12.6889535331965
-38.2855441560902,-13.5788736699307
-36.6575395749832,-13.755253944306
-35.1810729788646,-15.2557888695571
-33.5864481217724,-15.5152263443581
-32.0495579770805,-15.4339536125789
-30.5130552070916,-15.6296537933538
-28.9781019359141,-16.9332456243449
-27.4413940852,-16.9823130867087
-25.9046558521564,-17.0096571833821
-24.3679176191127,-17.0370012800555
-22.7291828672444,-17.3898464652958
-21.2928283576938,-15.9385408113308
-19.7555305834127,-15.5658129232038
-18.217789733491,-14.8762859520903
-16.6790918401857,-13.5024729617254
-15.1405002850342,-12.2046917512774
-13.6018175828938,-10.8417404437579
-12.0628842265338,-9.29957136929158
4.53701047470791,17.0548588940672
5.77720197932881,18.6512224490237
6.07305208433633,20.8897273916918
7.49207181103471,23.8996179821816
9.17005749456116,27.1935182497859
10.5331455225641,31.1990486333149
11.9463435066166,34.406691568184
12.9723452839828,35.4678419031491
13.5975485229219,37.7377274519996
15.0667077741871,41.7149914181341
16.4862136181597,45.072455859672
18.113308899544,48.6062246197612
19.2711490996836,52.3655821774056
20.9433773317439,57.6473223173402
22.6111393613474,59.7357277007692
23.8966157282924,63.1886794640237
25.1811426474362,65.9627760494496
25.5096705755932,71.9445820310907
26.9827768170032,72.2034964464667
27.0988453115668,75.6743977702568
27.9354967151105,73.8801513040016
28.3756851015449,79.2172572431874
29.6824746727303,79.5958970262895
29.858388361329,83.2858309607132
31.2209750808929,80.828508139666
31.4490118261505,86.9040408955294
32.5072717707381,84.8679907765643
33.0272147052608,90.3621287192702
33.7944191658132,89.5157276527971
34.4401955822494,93.4145401034758
35.7272670215003,98.0079685654823
35.9762502128762,92.8984202787659
37.0027931754891,94.3465180650933
37.2659801059704,99.3926432386924
38.2907001288051,99.537339083589
38.4255976723937,104.422817689232
39.8320716671184,102.822808254719
39.8378443097494,106.950247735917
